"pairs","F.Model","R2","p.value","p.adjusted"
"38","FS2_feces_0_control vs FS2_feces_0_RPS",0.597850972290448,0.0224774164241046,0.9068,0.9068
"66","FS2_feces_12_control vs FS2_feces_12_RPS",0.974797390372637,0.0375285849480365,0.4381,0.4381
"93","FS2_feces_15_control vs FS2_feces_15_RPS",1.94773041548254,0.0722780874475238,0.0165,0.0165
"119","FS2_feces_19_control vs FS2_feces_19_RPS",2.6072282078473,0.105953754150004,0.0024,0.0024
"144","FS2_feces_21_control vs FS2_feces_21_RPS",5.25790132424452,0.179708765368197,1e-04,1e-04
"386","FS2_feces_28_control vs FS2_feces_28_RPS",2.44252008500573,0.169120075349008,0.0322,0.0322
"399","FS2_feces_41_control vs FS2_feces_41_RPS",2.08564249479535,0.206793220746386,0.0671,0.0671
"417","FS2_feces_35_control vs FS2_feces_35_RPS",1.0144382539852,0.126576339081628,0.3865,0.3865
"213","FS2_ileum_21_control vs FS2_ileum_21_RPS",2.67778045404681,0.308578958436089,0.0371,0.0371
"9","FS2_colon_21_control vs FS2_colon_21_RPS",1.44170603985682,0.107256179802023,0.139,0.139
"375","FS2_colon_41_control vs FS2_colon_41_RPS",1.92037078431253,0.14863124413149,0.0133,0.0133
"191","FS2_cecum_21_control vs FS2_cecum_21_RPS",2.64312011376097,0.180502522223872,0.0071,0.0071
"413","FS2_cecum_41_control vs FS2_cecum_41_RPS",1.57433224834984,0.125202055843279,0.0497,0.0497
