well	substrate	tissue	pig	day
1	sulfate	feces	67	19
2	sulfate	feces	68	19
3	sulfate	feces	69	19
4	sulfate	feces	70	19
5	sulfate	feces	71	19
6	sulfate	feces	72	19
7	sulfate	feces	73	19
8	sulfate	feces		
9	sulfate	cec_cont		
10	sulfate	cec_cont		
11	sulfate	feces	74	19
12	sulfate	feces	75	19
13	sulfate	feces	76	19
14	sulfate	feces	77	19
15	sulfate	feces	78	19
16	sulfate	feces	79	19
17	sulfate	feces	NTC	19
18	sulfate	feces		
19	sulfate	cec_cont		
20	sulfate	cec_cont		
21	sulfate	feces	81	19
22	sulfate	feces	NTC	19
23	sulfate	feces	83	19
24	sulfate	feces	84	19
25	sulfate	feces	85	19
26	sulfate	feces	86	19
27	sulfate	feces	87	19
28	sulfate	feces		
29	sulfate	cec_cont		
30	sulfate	cec_cont		
31	sulfate	feces	NTC	19
32	sulfate	feces	91	19
33	sulfate	feces	NTC	19
34	sulfate	feces	93	19
35	sulfate	feces	94	19
36	sulfate	feces	95	19
37	sulfate	feces	96	19
38	sulfate	feces		
39	sulfate	cec_cont		
40	sulfate	cec_cont		
41	sulfate	feces	67	21
42	sulfate	feces	68	21
43	sulfate	feces	69	21
44	sulfate	feces	70	21
45	sulfate	feces	71	21
46	sulfate	feces	72	21
47	sulfate	feces	73	21
48	sulfate	feces		
49	sulfate	cec_cont		
50	sulfate	cec_cont		
51	sulfate	feces	74	21
52	sulfate	feces	75	21
53	sulfate	feces	76	21
54	sulfate	feces	77	21
55	sulfate	feces	78	21
56	sulfate	feces	79	21
57	sulfate	feces	80	21
58	sulfate	feces		
59	sulfate	cec_cont		
60	sulfate	cec_cont		
61	sulfate	feces	81	21
62	sulfate	feces	82	21
63	sulfate	feces	83	21
64	sulfate	feces	84	21
65	sulfate	feces	85	21
66	sulfate	feces	86	21
67	sulfate	feces	87	21
68	sulfate	feces		
69	sulfate	cec_cont		
70	sulfate	cec_cont		
71	sulfate	feces	90	21
72	sulfate	feces	91	21
73	sulfate	feces	92	21
74	sulfate	feces	93	21
75	sulfate	feces	94	21
76	sulfate	feces	95	21
77	sulfate	feces	96	21
78	sulfate	feces		
79	sulfate	feces		
80	sulfate	feces		
81	sulfate	cec_cont	67	21
82	sulfate	cec_cont	68	21
83	sulfate	cec_cont	69	21
84	sulfate	cec_cont	70	21
85	sulfate	cec_cont	71	21
86	sulfate	cec_cont	72	21
87	sulfate	cec_cont	73	21
88	sulfate	feces		
89	sulfate	feces		
90	sulfate	feces		
91	sulfate	cec_cont	74	21
92	sulfate	cec_cont	75	21
93	sulfate	cec_cont	76	21
94	sulfate	cec_cont	77	21
95	sulfate	cec_cont	78	21
96	sulfate	cec_cont	79	21
97	sulfate	cec_cont	80	21
98	sulfate	feces		
99	sulfate	feces		
100	sulfate	feces		
101	sulfate	feces	67	19
102	sulfate	feces	68	19
103	sulfate	feces	69	19
104	sulfate	feces	70	19
105	sulfate	feces	71	19
106	sulfate	feces	72	19
107	sulfate	feces	73	19
108	sulfate	feces		
109	sulfate	cec_cont		
110	sulfate	cec_cont		
111	sulfate	feces	74	19
112	sulfate	feces	75	19
113	sulfate	feces	76	19
114	sulfate	feces	77	19
115	sulfate	feces	78	19
116	sulfate	feces	79	19
117	sulfate	feces	NTC	19
118	sulfate	feces		
119	sulfate	cec_cont		
120	sulfate	cec_cont		
121	sulfate	feces	81	19
122	sulfate	feces	NTC	19
123	sulfate	feces	83	19
124	sulfate	feces	84	19
125	sulfate	feces	85	19
126	sulfate	feces	86	19
127	sulfate	feces	87	19
128	sulfate	feces		
129	sulfate	cec_cont		
130	sulfate	cec_cont		
131	sulfate	feces	NTC	19
132	sulfate	feces	91	19
133	sulfate	feces	NTC	19
134	sulfate	feces	93	19
135	sulfate	feces	94	19
136	sulfate	feces	95	19
137	sulfate	feces	96	19
138	sulfate	feces		
139	sulfate	cec_cont		
140	sulfate	cec_cont		
141	sulfate	feces	67	21
142	sulfate	feces	68	21
143	sulfate	feces	69	21
144	sulfate	feces	70	21
145	sulfate	feces	71	21
146	sulfate	feces	72	21
147	sulfate	feces	73	21
148	sulfate	feces		
149	sulfate	cec_cont		
150	sulfate	cec_cont		
151	sulfate	feces	74	21
152	sulfate	feces	75	21
153	sulfate	feces	76	21
154	sulfate	feces	77	21
155	sulfate	feces	78	21
156	sulfate	feces	79	21
157	sulfate	feces	80	21
158	sulfate	feces		
159	sulfate	cec_cont		
160	sulfate	cec_cont		
161	sulfate	feces	81	21
162	sulfate	feces	82	21
163	sulfate	feces	83	21
164	sulfate	feces	84	21
165	sulfate	feces	85	21
166	sulfate	feces	86	21
167	sulfate	feces	87	21
168	sulfate	feces		
169	sulfate	cec_cont		
170	sulfate	cec_cont		
171	sulfate	feces	90	21
172	sulfate	feces	91	21
173	sulfate	feces	92	21
174	sulfate	feces	93	21
175	sulfate	feces	94	21
176	sulfate	feces	95	21
177	sulfate	feces	96	21
178	sulfate	feces		
179	sulfate	feces		
180	sulfate	feces		
181	sulfate	cec_cont	67	21
182	sulfate	cec_cont	68	21
183	sulfate	cec_cont	69	21
184	sulfate	cec_cont	70	21
185	sulfate	cec_cont	71	21
186	sulfate	cec_cont	72	21
187	sulfate	cec_cont	73	21
188	sulfate	feces		
189	sulfate	feces		
190	sulfate	feces		
191	sulfate	cec_cont	74	21
192	sulfate	cec_cont	75	21
193	sulfate	cec_cont	76	21
194	sulfate	cec_cont	77	21
195	sulfate	cec_cont	78	21
196	sulfate	cec_cont	79	21
197	sulfate	cec_cont	80	21
198	sulfate	feces		
199	sulfate	feces		
200	sulfate	feces		
