group experiment tissue day pig_num treatment design invsimpson shannon sample
FS2D0P67 FS2 feces 0 67 control feces_0_control 2.14003861221688 1.18531328796813 feces_0_67
FS2D0P68 FS2 feces 0 68 control feces_0_control 3.36428159647399 1.68237212411341 feces_0_68
FS2D0P69 FS2 feces 0 69 control feces_0_control 4.06530231155651 2.56145759763416 feces_0_69
FS2D0P70 FS2 feces 0 70 control feces_0_control 9.08355757952115 3.04672484529799 feces_0_70
FS2D0P71 FS2 feces 0 71 control feces_0_control 24.445031839481 3.6448121880187 feces_0_71
FS2D0P72 FS2 feces 0 72 control feces_0_control 17.4734425871128 3.55494929929068 feces_0_72
FS2D0P73 FS2 feces 0 73 control feces_0_control 4.2719563721462 2.10723107956522 feces_0_73
FS2D0P74 FS2 feces 0 74 RPS feces_0_RPS 3.23306193912988 1.72392244285376 feces_0_74
FS2D0P75 FS2 feces 0 75 RPS feces_0_RPS 2.26609289091848 1.47562897987888 feces_0_75
FS2D0P76 FS2 feces 0 76 RPS feces_0_RPS 1.09194016815661 0.290946393016292 feces_0_76
FS2D0P77 FS2 feces 0 77 RPS feces_0_RPS 1.98894357901528 1.08501093286224 feces_0_77
FS2D0P78 FS2 feces 0 78 RPS feces_0_RPS 2.42194059037356 1.74448650158767 feces_0_78
FS2D0P79 FS2 feces 0 79 RPS feces_0_RPS 2.7399904749895 1.95200792893495 feces_0_79
FS2D0P80 FS2 feces 0 80 RPS feces_0_RPS 1.13648371000881 0.408783851579299 feces_0_80
FS2D0P81 FS2 feces 0 81 control feces_0_control 1.7929760385447 0.923518397545305 feces_0_81
FS2D0P82 FS2 feces 0 82 control feces_0_control 1.73805493783081 1.17971997192028 feces_0_82
FS2D0P83 FS2 feces 0 83 control feces_0_control 3.5749483848553 1.93874900885865 feces_0_83
FS2D0P84 FS2 feces 0 84 control feces_0_control 4.0472720893938 2.34354928330323 feces_0_84
FS2D0P85 FS2 feces 0 85 control feces_0_control 3.84802308797347 2.13910210355556 feces_0_85
FS2D0P86 FS2 feces 0 86 control feces_0_control 4.29710072577858 2.13985440208989 feces_0_86
FS2D0P87 FS2 feces 0 87 control feces_0_control 3.28233046730343 1.75594763339494 feces_0_87
FS2D0P90 FS2 feces 0 90 RPS feces_0_RPS 2.10023728382515 1.56056420891198 feces_0_90
FS2D0P91 FS2 feces 0 91 RPS feces_0_RPS 6.13326463833729 2.4877357531316 feces_0_91
FS2D0P92 FS2 feces 0 92 RPS feces_0_RPS 3.23665990077496 2.10400732209816 feces_0_92
FS2D0P93 FS2 feces 0 93 RPS feces_0_RPS 1.08134214957493 0.262692265351747 feces_0_93
FS2D0P94 FS2 feces 0 94 RPS feces_0_RPS 3.60755905562581 2.07011443419792 feces_0_94
FS2D0P95 FS2 feces 0 95 RPS feces_0_RPS 5.72214310369073 2.34345902980889 feces_0_95
FS2D0P96 FS2 feces 0 96 RPS feces_0_RPS 1.55327278065072 1.10283540131174 feces_0_96
FS2D21P67 FS2 feces 21 67 control feces_21_control 2.46258802066226 1.45400745003144 feces_21_67
FS2D21P68 FS2 feces 21 68 control feces_21_control 4.6067390058119 2.05047055281221 feces_21_68
FS2D21P69 FS2 feces 21 69 control feces_21_control 4.33922491682242 1.8773577019382 feces_21_69
FS2D21P70 FS2 feces 21 70 control feces_21_control 4.53041051744084 2.13762931391688 feces_21_70
FS2D21P71 FS2 feces 21 71 control feces_21_control 8.03083128198135 2.51320420182581 feces_21_71
FS2D21P72 FS2 feces 21 72 control feces_21_control 5.15015067189656 2.0778454607293 feces_21_72
FS2D21P73 FS2 feces 21 73 control feces_21_control 5.94889515612416 2.28278761076713 feces_21_73
