baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	newp	Treatment	tissue	otu
Otu00087	25.2076936150526	3.28338962414557	0.82832253942711	3.96390230599839	7.37344372743578e-05	0.0608309107513452	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	6.1e-02	RPS	D12_feces	Otu00087
Otu00069	10.0962715136915	-4.93147301714184	1.11649424278789	-4.41692650812774	1.001142499872e-05	0.00384939291200783	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	4e-03	Control	D15_feces	Otu00069
Otu00078	34.960633621304	5.94059840396418	1.41444085458761	4.19996239835437	2.66959310945445e-05	0.00684305700390157	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	7e-03	RPS	D15_feces	Otu00078
Otu00223	12.7073832018289	5.87742079866488	1.28159355465598	4.58602555959528	4.51763320228275e-06	0.00347405993255544	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	3e-03	RPS	D15_feces	Otu00223
Otu00006	622.509216169187	1.55440266860576	0.657783189513401	2.36309272323551	0.0181231345624523	0.0806348160967081	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	8.1e-02	RPS	D19_feces	Otu00006
Otu00008	245.519762250961	1.48368973807655	0.633164004069485	2.34329451538709	0.0191142879932056	0.0815012001932517	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	8.2e-02	RPS	D19_feces	Otu00008
Otu00011	157.051899639992	-3.45688601041323	1.12243072244887	-3.07982126760675	0.00207124850937259	0.0199511398153443	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	2.0e-02	Control	D19_feces	Otu00011
Otu00013	881.52809240681	1.47832375274346	0.498761609696902	2.96398865510487	0.00303679482396402	0.027223265161689	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	2.7e-02	RPS	D19_feces	Otu00013
Otu00014	93.2863892132346	-7.60668884189098	0.872827034987865	-8.71500141147294	2.90755040215818e-18	8.92617973462563e-16	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.0e+00	Control	D19_feces	Otu00014
Otu00018	351.43751084579	-2.63029318708847	0.678159840781935	-3.87857408963598	0.000105070527398602	0.00403208148892135	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA	4.0e-03	Control	D19_feces	Otu00018
Otu00025	137.900772740441	1.55774808363999	0.545130310683674	2.85757011325668	0.00426898310084629	0.0336432923888873	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	3.4e-02	RPS	D19_feces	Otu00025
Otu00030	320.62685184589	-2.53018319713323	0.69800136112386	-3.62489722521364	0.000289076388028204	0.00615437613807712	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	NA	6.0e-03	Control	D19_feces	Otu00030
Otu00032	214.284990564613	3.01140634220909	0.888095743004951	3.39085776047043	0.000696742516638578	0.00972272511854743	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	1.0e-02	RPS	D19_feces	Otu00032
Otu00033	80.8390712601569	-2.29102093026372	0.686933814517828	-3.33514071056734	0.000852562469274637	0.0104694671226925	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-003	1.0e-02	Control	D19_feces	Otu00033
Otu00036	12.7802539429235	-3.61410974916018	1.21083861633152	-2.98479888270318	0.00283764828212725	0.0263987279579717	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	2.6e-02	Control	D19_feces	Otu00036
Otu00040	8.12834668349855	-3.95924710811806	1.09532009017685	-3.61469413701598	0.000300702417169892	0.00615437613807712	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	6.0e-03	Control	D19_feces	Otu00040
Otu00041	142.215154923166	1.07157673870612	0.434276122572959	2.46750093548165	0.0136059865872128	0.0652662169105363	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	6.5e-02	RPS	D19_feces	Otu00041
Otu00043	200.944614236388	3.74444536412941	1.36776579236087	2.73763635926747	0.00618824597235484	0.0431770798525667	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	4.3e-02	RPS	D19_feces	Otu00043
Otu00045	41.1382860722316	-1.66319275130421	0.726592667497947	-2.2890304646639	0.022077582383847	0.0859596878151308	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA	8.6e-02	Control	D19_feces	Otu00045
Otu00047	231.394098119858	2.06815869234795	0.602242953551877	3.43409363306033	0.000594538785866914	0.00912617036305713	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella	9.0e-03	RPS	D19_feces	Otu00047
Otu00048	209.562412032766	-2.4414085085941	0.764150074664758	-3.19493328540886	0.00139863167365583	0.0159029601411977	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group	1.6e-02	Control	D19_feces	Otu00048
Otu00049	73.39792576326	3.93205540379907	1.17220139299466	3.35441966482716	0.000795316428412418	0.0103667598142002	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	1.0e-02	RPS	D19_feces	Otu00049
Otu00057	144.725342862102	3.31810590392175	1.07260403520502	3.09350496083816	0.00197807245949419	0.0199511398153443	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	2.0e-02	RPS	D19_feces	Otu00057
Otu00066	71.0126328969892	-2.07992037013194	0.675600899218895	-3.07862285638854	0.00207959763547563	0.0199511398153443	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	NA	2.0e-02	Control	D19_feces	Otu00066
Otu00070	12.5161504173021	-2.84802681997189	0.989416743168977	-2.87849062554776	0.00399583156595879	0.0336432923888873	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema_2	3.4e-02	Control	D19_feces	Otu00070
Otu00083	31.1888812707933	-2.14912958801984	0.837431288844548	-2.56633543151357	0.010277938333701	0.0553566152358983	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema_2	5.5e-02	Control	D19_feces	Otu00083
