baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	newp	Treatment	tissue	otu
Otu00001	1754.68583851054	-1.18320257197953	0.297576803866697	-3.97612500909031	7.00473133906029e-05	0.000375286599556277	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	0.0e+00	post-weaning	wean-feces	Otu00001
Otu00002	1333.24561382036	-1.44134907932003	0.269761390693234	-5.34305178222891	9.13946407889389e-08	7.24884945080898e-07	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	0.0e+00	post-weaning	wean-feces	Otu00002
Otu00003	1245.81549003912	-1.75947962662703	0.374696853355184	-4.69574166655512	2.65641094163332e-06	1.7330939127269e-05	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	0.0e+00	post-weaning	wean-feces	Otu00003
Otu00004	1155.39155461129	1.16045811173702	0.277209911374882	4.18620714526936	2.83654499751737e-05	0.000158259648482176	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	0.0e+00	pre-weaning	wean-feces	Otu00004
Otu00005	335.905853591524	1.37703308228711	0.302865645143326	4.54667970556864	5.4498838441646e-06	3.26589335550308e-05	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_2	0.0e+00	pre-weaning	wean-feces	Otu00005
Otu00006	611.602859957891	-2.38842569106584	0.444137855322224	-5.37766745717505	7.54570205272081e-08	6.0551443839076e-07	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	0.0e+00	post-weaning	wean-feces	Otu00006
Otu00007	611.152068138171	10.1958973401018	0.646454329321264	15.7720304090264	4.84663055611244e-56	9.8023102997374e-54	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	0.0e+00	pre-weaning	wean-feces	Otu00007
Otu00008	211.815258525045	-2.38520916462937	0.377074264491385	-6.32556869890511	2.52301623939635e-10	2.75827045631303e-09	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	0.0e+00	post-weaning	wean-feces	Otu00008
Otu00009	6.65176784638128	3.27887404177632	0.648226472492559	5.05822298365631	4.231814281629e-07	3.14086032462189e-06	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	0.0e+00	pre-weaning	wean-feces	Otu00009
Otu00012	133.237031805189	-1.06525680622639	0.37868923542342	-2.8130105283698	0.00490800441626758	0.0174148051436863	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	1.7e-02	post-weaning	wean-feces	Otu00012
Otu00013	424.148897894527	-0.959225459718856	0.33322849177537	-2.8785817641472	0.00399467713822115	0.0144272044858076	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	1.4e-02	post-weaning	wean-feces	Otu00013
Otu00015	126.102473108011	4.66367227655783	0.470215670702861	9.91815578920786	3.47110227391759e-23	9.05845722451397e-22	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	0.0e+00	pre-weaning	wean-feces	Otu00015
Otu00016	1614.69359791209	8.59374771517331	1.13625390250797	7.56322833849455	3.93186495643583e-14	6.23701715638546e-13	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	0.0e+00	pre-weaning	wean-feces	Otu00016
Otu00017	686.342077822822	-3.49611556887957	0.642622701702014	-5.44038602996744	5.31652427444934e-08	4.38884503880563e-07	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA	0.0e+00	post-weaning	wean-feces	Otu00017
Otu00021	120.97880736857	-1.6014234047951	0.447493625398302	-3.57865076484547	0.000345372613754809	0.00163395581595111	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio	2.0e-03	post-weaning	wean-feces	Otu00021
Otu00022	185.546350552933	-1.64599266807395	0.513058187797834	-3.20819881101388	0.00133569130316243	0.00549346347210992	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	5.0e-03	post-weaning	wean-feces	Otu00022
Otu00023	2223.71734177208	14.2521837602056	0.855359621010384	16.6622124894911	2.46726045558866e-62	6.65337902857074e-60	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	0.0e+00	pre-weaning	wean-feces	Otu00023
Otu00024	161.020891955342	-1.11866027662537	0.434485453643506	-2.57467831717843	0.0100333353178657	0.0322101915561641	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_1	3.2e-02	post-weaning	wean-feces	Otu00024
Otu00025	251.825730507183	-2.55185288621373	0.421560148208373	-6.05335418221833	1.41860486251062e-09	1.51006754443564e-08	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	0.0e+00	post-weaning	wean-feces	Otu00025
Otu00026	238.980342123009	1.20693491341097	0.36804081239792	3.27935074794382	0.00104046230369241	0.00438403126920394	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	4.0e-03	pre-weaning	wean-feces	Otu00026
Otu00027	117.770008169399	-1.41117604623354	0.388480764175091	-3.63255063408368	0.000280633485961664	0.001367665603271	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	1.0e-03	post-weaning	wean-feces	Otu00027
