Pig	Live	CD3+	CTL_FoxP3-_CD25+	CTL_FoxP3+_CD25+	CTL_FoxP3+_CD25-	CTL_FoxP3-_CD25-	DP_FoxP3-_CD25+	DP_FoxP3+_CD25+	DP_FoxP3+_CD25-	DP_FoxP3-_CD25-	TH_FoxP3-_CD25+	TH_FoxP3+_CD25+	TH_FoxP3+_CD25-	TH_FoxP3-_CD25-	DN_FoxP3-_CD25+	DN_FoxP3+_CD25+	DN_FoxP3+_CD25-	DN_FoxP3-_CD25-
67	24999	13910	433	39	64	9113	71	94	78	678	72	33	11	968	95	34	50	2077
68	14901	9425	360	7	6	5838	41	40	91	445	64	43	57	1342	81	5	26	979
69	86806	59507	5231	37	57	33421	1838	874	1227	9611	927	151	135	3908	207	17	50	1816
70	34163	23275	1661	11	42	14671	316	213	332	3245	101	26	35	1323	75	6	63	1155
71	70608	53382	5900	31	27	25418	1945	2500	638	9212	1636	280	92	3969	295	8	21	1410
72	72109	48985	2014	97	102	27855	522	1001	1897	4072	406	285	233	6007	185	40	48	4221
73	54167	42939	2437	14	22	25698	822	713	766	5196	696	123	122	4294	257	11	59	1709
74	17917	12275	241	29	29	5913	59	115	112	899	64	101	52	3047	85	14	54	1461
75	27383	16471	327	56	14	7464	143	314	225	1738	125	144	66	4498	67	8	27	1255
76	14687	8266	71	52	11	2695	92	207	184	730	84	125	64	2943	75	7	43	883
77	24599	18052	500	43	14	7961	75	102	133	1123	82	140	66	6339	53	12	33	1376
78	17125	10524	280	11	15	4128	223	328	348	1636	198	108	47	2312	30	4	8	848
79	15932	7672	235	8	9	3356	132	311	315	830	180	75	99	1248	72	5	64	733
80	97075	58244	1775	37	89	24211	1637	2843	2939	9321	1940	646	798	9379	344	13	45	2227
80-2	106404	61459	1691	36	80	25533	1821	3271	2327	9529	2270	840	637	9948	470	15	47	2944
