baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newp	Treatment	name	tissue	otu
Otu035	105.710820490716	-4.47759166232911	1.36717311604188	-3.27507292952939	0.00105634699442622	0.0281692531846992	2.8e-02	Control	uncultured Clostridium sp. 100	D12_feces	Otu035
Otu067	12.4788764043167	5.78522003420775	1.24850327694559	4.63372434901498	3.59145145673242e-06	0.000287316116538594	0.0e+00	RPS	Clostridium sp. CAG:167 100	D12_feces	Otu067
Otu082	72.4410221946599	-7.0661243182531	2.04356013883736	-3.45775207881733	0.000544702392040285	0.0217880956816114	2.2e-02	Control	Pseudobutyrivibrio sp. JW11 91.071	D12_feces	Otu082
Otu098	64.7486426017768	-6.17532472314327	1.96143179422513	-3.14837596766032	0.00164180380823334	0.0328360761646668	3.3e-02	Control	Clostridium sp. CAG:62_40_43 95.536	D12_feces	Otu098
Otu0671	59.2018914454539	7.54038261758604	1.00352433058554	7.51390114596063	5.73909274272911e-14	2.07755157286794e-11	0e+00	RPS	Clostridium sp. CAG:167 100	D15_feces	Otu067
Otu001	1927.8649208485	2.78564946064364	0.791780967236587	3.51820715060366	0.00043447306298684	0.00705203024751082	7.0e-03	RPS	Roseburia faecis 100	D19_feces	Otu001
Otu002	3469.74612233779	2.70932934864548	0.855528794486713	3.16684764569611	0.00154101030173897	0.0148964329168101	1.5e-02	RPS	[Eubacterium rectale] ATCC 33656 100	D19_feces	Otu002
Otu003	3836.69453490432	3.06883003943617	1.06645579384687	2.87759704353654	0.00400716637967864	0.031693043184731	3.2e-02	RPS	[Eubacterium] rectale 100	D19_feces	Otu003
Otu004	1949.82868412394	2.50530399023471	0.831317003390772	3.01365661957603	0.00258119771922498	0.0224564201572574	2.2e-02	RPS	Roseburia sp. CAG:197 98.214	D19_feces	Otu004
Otu007	836.545637801921	3.62029314635168	0.816954554037174	4.43144986273856	9.36015786589284e-06	0.000318370243103208	0.0e+00	RPS	Roseburia sp. CAG:197 100	D19_feces	Otu007
Otu010	2062.96308258219	-3.57033917287197	0.621361443475628	-5.74599407536624	9.13825062803458e-09	7.95027804639008e-07	0.0e+00	Control	Pseudobutyrivibrio sp. JW11 91.071	D19_feces	Otu010
Otu018	136.66536906476	1.67793252202583	0.600294532128813	2.79518208515978	0.00518704908770431	0.0364419676255609	3.6e-02	RPS	Megasphaera elsdenii 100	D19_feces	Otu018
Otu020	367.352866875787	6.83272866462702	1.24616824540395	5.48299051097404	4.18195457796957e-08	2.42553365522235e-06	0.0e+00	RPS	Lachnospiraceae bacterium V9D3004 88.393	D19_feces	Otu020
Otu031	189.081381814064	4.57743583324663	1.30794098406285	3.49972658477891	0.000465735595935549	0.00705203024751082	7.0e-03	RPS	Roseburia inulinivorans 100	D19_feces	Otu031
