group2	4-nitrophenyl sulfate	a-D-galactopyranoside	a-L-fucopyranoside	B-D-galactopyranoside	B-D-glucopyranoside	B-D-xylopyranoside	N-acetyl-B-D-glucosamine	day	tissue	pig	treatment	muc_deg
0 feces 67	7.93480727693898e-06	0.000198211506012936	1.34655377302436e-05	-7.42721330956728e-09	0.000129665994163372	6.18928010289806e-06	0.000117767797844028	0	feces	67	control	0.000139160715637901
0 feces 68	1.76964288194809e-06	3.85002188298296e-05	8.90708556149733e-06	5.19904931669657e-08	9.91145875157703e-06	1.33660681745913e-06	5.85329824558881e-05	0	feces	68	control	6.92617013925005e-05
0 feces 69	3.40009907242836e-06	1.87275246103083e-05	2.46397801544858e-06	7.05585264408847e-08	4.63432423140244e-05	1.45913862356297e-06	7.03142242808438e-05	0	feces	69	control	7.62488598951616e-05
0 feces 71	6.53636913290929e-07	1.35536819964084e-05	2.28572489601901e-06	1.7654486036839e-05	2.4713669294486e-06	1.64106342849439e-06	5.06175506386604e-05	0	feces	71	control	7.12113984848093e-05
0 feces 72	2.56255434071005e-07	1.71477148988024e-05	5.57040998217468e-06	1.6763220439691e-05	6.57854980290495e-06	2.21840818431624e-06	5.4600310452019e-05	0	feces	72	control	7.71901963079557e-05
0 feces 74	3.29425563283369e-06	1.62585034679343e-05	3.94756387403445e-06	2.97088532382569e-08	4.9037459953712e-05	1.91767488438173e-06	0.000105351526004615	0	feces	74	RPS	0.000112623054364722
0 feces 75	7.4835290860706e-07	3.55206531823037e-05	1.07508912655971e-05	5.57040998216496e-09	0.000196281509193544	4.91393450154337e-06	9.16374110593476e-05	0	feces	75	RPS	0.000103142225643534
0 feces 76	3.62479022003729e-06	2.74656736307245e-05	5.78394236482471e-06	2.04248366012975e-08	9.59031355191299e-06	9.28204021970136e-07	7.51121314820159e-05	0	feces	76	RPS	8.45412889034792e-05
0 feces 77	8.85765949674708e-07	7.18610853550846e-06	4.24465240641712e-06	1.04333778966132e-05	9.22074849013409e-06	9.59753740428774e-07	5.03167121356331e-05	0	feces	77	RPS	6.58805083883381e-05
0 feces 78	4.28955457760661e-07	9.0663917025791e-05	2.04638294711824e-05	2.41811497326203e-05	1.89279412037298e-05	5.59894969030919e-06	0.000103966380420098	0	feces	78	RPS	0.000149040315081662
0 feces 79	2.97299949141286e-06	8.48809502771825e-05	7.71873143196673e-06	2.02131610219846e-05	0.000171331965695674	4.90093290915483e-06	0.000116464344483397	0	feces	79	RPS	0.000147369236428761
0 feces 80	2.92100680425505e-06	1.51632210159607e-05	2.71093285799167e-06	1.84102049910873e-05	6.1663506496133e-05	1.70233026893579e-06	5.11653050566657e-05	0	feces	80	RPS	7.52074497099997e-05
0 feces 81	3.45414741821138e-07	1.36762016164487e-05	4.51574569221628e-06	8.1699346405232e-08	7.51996168222245e-06	7.31416906489331e-07	3.92837954004976e-05	0	feces	81	control	4.42266551809402e-05
0 feces 82	2.78540024159608e-07	2.30566883563974e-05	5.55741235888294e-06	7.24153297682644e-08	6.22205574701488e-06	1.91210866552064e-06	5.28809527255389e-05	0	feces	82	control	5.87893204383497e-05
0 feces 83	1.80311556996894e-06	1.30394647991888e-05	1.01845662507427e-05	3.52792632204287e-08	2.57348928933032e-05	1.98450981846324e-06	6.09152195415414e-05	0	feces	83	control	7.29381806254735e-05
0 feces 84	1.03248025980724e-06	7.14535177736418e-06	1.62655971479499e-06	1.83229352346999e-05	7.62762618486077e-06	1.52597918198151e-06	4.49265082568865e-05	0	feces	84	control	6.59084834661886e-05
0 feces 85	4.86895141872756e-06	9.51042579789497e-06	1.62470291146763e-06	2.08054812834225e-05	2.09926915709923e-05	8.16820589209958e-07	2.39115441494823e-05	0	feces	85	control	5.12106797631e-05
0 feces 86	4.06678996512303e-07	4.81220261857058e-05	1.62674539512775e-05	2.02243018419489e-05	0.000123503385298626	3.54574703177207e-06	8.31667984572237e-05	0	feces	86	control	0.000120065233246962
0 feces 87	2.06865257629972e-06	1.44057915507992e-05	9.02963458110516e-06	1.35973707664884e-05	2.06362025164437e-05	1.57979940022144e-06	6.22855127048608e-05	0	feces	87	control	8.69811706287541e-05
0 feces 90	3.37961845956665e-07	2.43097690823078e-05	7.42535650623886e-06	1.30570409982175e-05	4.05145698922932e-06	1.41087712506812e-06	4.13930714603858e-05	0	feces	90	RPS	6.22134308107988e-05
0 feces 91	1.1513257792876e-06	1.12944411253982e-05	1.43716577540106e-06	9.56068033273915e-06	3.39605057193934e-06	8.96643054837513e-07	5.05377139124535e-05	0	feces	91	RPS	6.26868857998813e-05
0 feces 92	4.36942762338159e-06	4.06146892661976e-05	7.01314616755792e-06	1.55971479500879e-07	6.42555486054275e-05	2.38363808222242e-06	9.421648281475e-05	0	feces	92	RPS	0.00010575502808519
0 feces 93	7.13067801871286e-07	6.20098922264167e-05	7.17840166369578e-06	2.64724450386215e-05	5.98439481439662e-06	1.15282785609337e-06	5.23090452667351e-05	0	feces	93	RPS	8.66729597709237e-05
0 feces 94	3.2738297333196e-06	5.11461253336783e-05	7.98054070112894e-06	1.99439245395128e-05	0.00023546693633483	7.50549401174775e-06	6.92187141944978e-05	0	feces	94	RPS	0.000100417009168459
0 feces 95	1.30358020665807e-06	9.70347929099052e-06	3.698752228164e-06	1.7526366607249e-05	1.12724756768354e-05	9.70902113772429e-07	2.8544191399837e-05	0	feces	95	RPS	5.10728904419081e-05
0 feces 96	9.58205796390156e-07	1.32696642260681e-05	1.01697118241236e-05	3.77413844325609e-05	1.70767543682107e-05	1.46842440396677e-06	6.17284754845338e-05	0	feces	96	RPS	0.000110597777537608
