group2	4-nitrophenyl sulfate	a-D-galactopyranoside	A-D-glucopyranoside	a-L-fucopyranoside	B-D-galactopyranoside	B-D-glucopyranoside	B-D-xylopyranoside	N-acetyl-B-D-glucosamine	day	tissue	pig	treatment	muc_deg
0 feces 67	7.93480727693903e-06	0.000198211506012936	1.62732443922125e-05	1.34655377302437e-05	-7.42721330955019e-09	0.000129665994163372	6.18928010289811e-06	0.000117767797844028	0	feces	67	control	4.38628695022933e-05
0 feces 68	1.76964288194813e-06	3.85002188298296e-05	6.17580630046011e-06	8.90708556149737e-06	5.19904931669772e-08	9.91145875157708e-06	1.33660681745915e-06	5.85329824558881e-05	0	feces	68	control	1.81891415613648e-05
0 feces 69	3.40009907242839e-06	1.87275246103083e-05	1.74726344408973e-06	2.46397801544863e-06	7.05585264408962e-08	4.63432423140244e-05	1.459138623563e-06	7.03142242808438e-05	0	feces	69	control	9.07047915552974e-06
0 feces 71	6.53636913290958e-07	1.35536819964084e-05	2.61254496147722e-06	2.28572489601905e-06	1.7654486036839e-05	2.47136692944863e-06	1.6410634284944e-06	5.06175506386604e-05	0	feces	71	control	7.19297019928163e-06
0 feces 72	2.56255434071089e-07	1.71477148988024e-05	4.27626884684282e-06	5.57040998217473e-06	1.6763220439691e-05	6.57854980290498e-06	2.21840818431627e-06	5.4600310452019e-05	0	feces	72	control	1.23213424474049e-05
0 feces 74	3.29425563283372e-06	1.62585034679343e-05	2.01650784069118e-06	3.94756387403449e-06	2.97088532382794e-08	4.9037459953712e-05	1.91767488438174e-06	0.000105351526004616	0	feces	74	RPS	1.11760022319411e-05
0 feces 75	7.48352908607064e-07	3.55206531823037e-05	5.62434111666375e-06	1.07508912655972e-05	5.57040998218909e-09	0.000196281509193544	4.91393450154341e-06	9.16374110593475e-05	0	feces	75	RPS	2.20375197924114e-05
0 feces 76	3.62479022003733e-06	2.74656736307245e-05	4.28369250138772e-06	5.78394236482476e-06	2.04248366013216e-08	9.59031355191305e-06	9.28204021970166e-07	7.5112131482016e-05	0	feces	76	RPS	1.462062910822e-05
0 feces 77	8.8576594967477e-07	7.18610853550849e-06	9.45129880521823e-07	4.24465240641715e-06	1.04333778966132e-05	9.22074849013413e-06	9.59753740428802e-07	5.03167121356332e-05	0	feces	77	RPS	7.03530197704255e-06
0 feces 78	4.28955457760707e-07	9.06639170257908e-05	6.53418425519957e-06	2.04638294711824e-05	2.41811497326203e-05	1.89279412037297e-05	5.59894969030923e-06	0.000103966380420098	0	feces	78	RPS	3.30259188744519e-05
0 feces 79	2.9729994914129e-06	8.48809502771825e-05	2.96721859137428e-06	7.71873143196675e-06	2.02131610219845e-05	0.000171331965695674	4.90093290915487e-06	0.000116464344483397	0	feces	79	RPS	1.85598824239088e-05
0 feces 80	2.92100680425508e-06	1.51632210159606e-05	2.78896366654711e-06	2.71093285799172e-06	1.84102049910873e-05	6.16635064961331e-05	1.70233026893585e-06	5.11653050566657e-05	0	feces	80	RPS	1.01232335977298e-05
0 feces 81	3.45414741821184e-07	1.36762016164487e-05	2.6032719579224e-06	4.51574569221632e-06	8.16993464052446e-08	7.51996168222249e-06	7.3141690648936e-07	3.92837954004976e-05	0	feces	81	control	8.19584929844926e-06
0 feces 82	2.78540024159644e-07	2.30566883563974e-05	7.3771647992321e-06	5.55741235888298e-06	7.24153297682877e-08	6.22205574701493e-06	1.91210866552067e-06	5.28809527255389e-05	0	feces	82	control	1.51252258477954e-05
0 feces 83	1.80311556996898e-06	1.30394647991888e-05	4.50836683660703e-06	1.01845662507428e-05	3.52792632204531e-08	2.57348928933032e-05	1.98450981846327e-06	6.09152195415414e-05	0	feces	83	control	1.8480558475782e-05
0 feces 84	1.03248025980728e-06	7.1453517773642e-06	3.89005687657874e-06	1.62655971479503e-06	1.83229352346999e-05	7.6276261848608e-06	1.52597918198155e-06	4.49265082568866e-05	0	feces	84	control	8.07507603316261e-06
0 feces 85	4.86895141872761e-06	9.51042579789503e-06	5.81370807821437e-06	1.62470291146764e-06	2.08054812834225e-05	2.09926915709923e-05	8.16820589209994e-07	2.39115441494823e-05	0	feces	85	control	1.31241829976196e-05
0 feces 86	4.06678996512351e-07	4.81220261857057e-05	4.59564072989379e-06	1.62674539512775e-05	2.02243018419489e-05	0.000123503385298626	3.54574703177212e-06	8.31667984572237e-05	0	feces	86	control	2.48155207094558e-05
0 feces 87	2.06865257629978e-06	1.44057915507993e-05	1.97379744416027e-06	9.02963458110521e-06	1.35973707664885e-05	2.06362025164437e-05	1.57979940022149e-06	6.22855127048608e-05	0	feces	87	control	1.46518840017867e-05
0 feces 90	3.37961845956724e-07	2.43097690823078e-05	2.46958052985104e-06	7.4253565062389e-06	1.30570409982175e-05	4.05145698922937e-06	1.41087712506813e-06	4.13930714603858e-05	0	feces	90	RPS	1.16437760071148e-05
0 feces 91	1.15132577928764e-06	1.12944411253982e-05	4.01063030568918e-07	1.43716577540109e-06	9.56068033273919e-06	3.39605057193937e-06	8.96643054837538e-07	5.05377139124535e-05	0	feces	91	RPS	3.88619764009519e-06
0 feces 92	4.36942762338163e-06	4.06146892661977e-05	3.76747654742707e-06	7.01314616755797e-06	1.55971479500905e-07	6.42555486054275e-05	2.38363808222244e-06	9.421648281475e-05	0	feces	92	RPS	1.75336884205891e-05
0 feces 93	7.13067801871312e-07	6.20098922264166e-05	9.6165032529552e-06	7.17840166369582e-06	2.64724450386215e-05	5.98439481439666e-06	1.15282785609338e-06	5.23090452667352e-05	0	feces	93	RPS	1.86608005746157e-05
0 feces 94	3.27382973331963e-06	5.11461253336784e-05	3.94389431469319e-06	7.98054070112897e-06	1.99439245395127e-05	0.00023546693633483	7.5054940117478e-06	6.92187141944979e-05	0	feces	94	RPS	2.27037587608896e-05
0 feces 95	1.3035802066581e-06	9.70347929099056e-06	1.66370700489797e-06	3.69875222816403e-06	1.7526366607249e-05	1.12724756768355e-05	9.70902113772482e-07	2.8544191399837e-05	0	feces	95	RPS	7.63694155349258e-06
0 feces 96	9.58205796390234e-07	1.32696642260681e-05	3.25499586583279e-06	1.01697118241236e-05	3.77413844325609e-05	1.70767543682107e-05	1.46842440396682e-06	6.17284754845339e-05	0	feces	96	RPS	1.58513378903135e-05
12 feces 67	1.81977218881632e-07	7.36087862132921e-05	6.52860526064581e-06	9.426990493167e-06	9.48083778966136e-06	6.25732989570299e-06	2.46902582932155e-06	5.99478325702172e-05	12	feces	67	control	1.8606598802016e-05
12 feces 68	0	5.52395318705325e-05	4.09615144375309e-06	8.56357694592993e-06	1.06617647058824e-05	1.03886623715355e-05	4.56121826679227e-06	7.00264236498183e-05	12	feces	68	control	1.72209466564753e-05
12 feces 69	0	7.74348502016517e-05	5.9938339215379e-06	9.54396910279266e-06	2.15389185977437e-07	1.73162833018619e-05	4.89535825378828e-06	7.56283086804189e-05	12	feces	69	control	2.04331612781188e-05
12 feces 71	4.64219304453059e-08	0.00012024752849665	1.25465932557636e-05	1.28992127153892e-05	3.89185977421276e-06	1.3175683340316e-05	4.17693169101345e-06	6.00053833189071e-05	12	feces	71	control	2.96691595926116e-05
12 feces 72	1.25715702562201e-06	6.84256662554938e-05	1.14937697429378e-05	1.7654486036839e-05	1.48265745692216e-05	6.60064863647646e-05	5.55437494472451e-06	4.93920447475022e-05	12	feces	72	control	3.59597877501233e-05
12 feces 73	2.30240956925578e-07	9.65132518885089e-05	1.24091834357935e-05	1.24071598336305e-05	1.75059417706476e-05	1.04870650149695e-05	7.27714311696583e-06	8.55954523677398e-05	12	feces	73	control	3.23237273433154e-05
12 feces 74	0	8.33716828752372e-05	9.01674398905538e-06	8.99435531788476e-06	1.71902852049911e-05	1.16475478407224e-05	4.32544324715686e-06	7.00969625696792e-05	12	feces	74	RPS	2.2336542554097e-05
12 feces 75	0	7.07201914047374e-05	1.05059238390625e-05	7.47177658942368e-06	8.92565359477127e-06	1.26427679024034e-05	3.78708358332109e-06	7.6842641262186e-05	12	feces	75	RPS	2.17647840118073e-05
12 feces 76	7.4316358208992e-09	0.000139472527590288	1.870752880204e-05	1.26633986928105e-05	1.15121806298291e-07	2.00977377776045e-05	5.91824517715636e-06	5.35308042153932e-05	12	feces	76	RPS	3.72966043078277e-05
12 feces 77	2.24685207302655e-07	0.000108067579566305	6.47660404228868e-06	1.00768716577541e-05	2.18620023767083e-05	1.10644995812471e-05	3.02039458466188e-06	5.87762311372453e-05	12	feces	77	RPS	1.97985554920073e-05
12 feces 78	1.9869449138235e-07	5.98137357940917e-05	7.19147777962619e-06	9.54211229946528e-06	2.69162210338681e-05	9.35629672171136e-06	3.20786311110632e-06	5.04782757825326e-05	12	feces	78	RPS	2.01401476815801e-05
12 feces 80	3.95532168076424e-07	9.98083943987288e-05	1.16033164754668e-05	1.36289364230541e-05	3.63562091503272e-06	1.66775597967418e-05	6.21711963370902e-06	0.000103132694309852	12	feces	80	RPS	3.18449047003063e-05
12 feces 82	2.15399257975113e-07	0.000206361107535595	1.6804303904048e-05	1.81094028520499e-05	1.25928401663696e-05	1.94571265786695e-05	4.46838858443918e-06	5.81170512078286e-05	12	feces	82	control	3.95974945985122e-05
12 feces 83	3.10121193597533e-07	0.000118723417531946	1.13953406739547e-05	1.60892008318479e-05	1.02124183006552e-07	1.04591972278065e-05	3.57173709309616e-06	6.12772997832513e-05	12	feces	83	control	3.13663997924963e-05
12 feces 84	9.02330650098032e-07	0.000201918676203847	1.56883352508138e-05	2.09985888294712e-05	1.13580659536542e-05	1.61223671336597e-05	6.52715371227937e-06	5.25671751270036e-05	12	feces	84	control	4.41164084426624e-05
12 feces 85	1.55977123530306e-07	6.9333444560222e-05	1.33840032454762e-05	1.67335115864528e-05	1.14769013666073e-05	9.19474526558175e-06	3.92816820244255e-06	9.43390100538529e-05	12	feces	85	control	3.42016601579018e-05
12 feces 86	5.79375893724977e-07	0.00025133651026634	2.38880739843138e-05	2.19047088532382e-05	5.22021687462864e-05	2.10335303372151e-05	5.46527607258819e-06	7.46813409359141e-05	12	feces	86	control	5.18374348038652e-05
